base,id_formula,idcolor,descripcion,formula_1l
ACCENT,99585,7581,The Back Nine,AXX=34 | D=62 | KX=12 | L=32
ACCENT,99593,7589,Grass Stain,AXX=40 | D=80 | KX=24
ACCENT,99601,7597,N.V. Green,AXX=16 | C=12 | D=96 | KX=12
ACCENT,99604,75A1A,CALICO BLUE,B=14 | E=90 | KX=24 | V=18
ACCENT,99605,75A1A SYC,CALICO BLUE,B=14 | E=90 | KX=24 | M=30
ACCENT,99624,75C4A,BRISTOL BLUE,B=24 | E=60 | KX=60 | V=12
ACCENT,99625,75C4A SYC,75C4A SYC,B=22.5 | E=56 | KX=56 | M=19
ACCENT,99631,7605,Forever Green,D=88 | KX=24 | T=44
ACCENT,99639,7613,Ivy Glen,AXX=64 | D=64 | KX=18
ACCENT,99647,7621,Tall Timber,B=14 | C=56 | D=56 | KX=14
ACCENT,99655,7629,Lodgepole Pine,B=11 | C=66 | D=55 | KX=10
ACCENT,99663,7637,Barefoot Grass,C=64 | D=64 | KX=15
ACCENT,99671,7645,Kelly's Green,D=64 | KX=18 | T=64
ACCENT,99679,7653,Jolly Holly,AXX=96 | D=32 | KX=14
ACCENT,99687,7661,Wilderness Retreat,AXX=108 | D=10
ACCENT,99695,7669,Lily Pad Place,AXX=64 | C=32 | D=32 | KX=16
ACCENT,99703,7677,Dark Drama,AXX=63 | D=21 | KX=16 | L=42
ACCENT,99711,7685,Woodland Park,B=14 | C=84 | D=28 | KX=11
ACCENT,99719,7693,Vivid Green,AXX=62 | C=52 | D=26 | KX=14
ACCENT,99726,76A1A,COSMIC NAVY,B=8 | E=65 | KX=18 | V=24
ACCENT,99727,76A1A SYC,COSMIC NAVY,B=8 | E=65 | KX=18 | M=40
ACCENT,99749,7701,Scarborough Fair,AXX=96 | D=5
ACCENT,99750,7702,Linden Leaf,AXX=96 | D=8 | KX=24
ACCENT,99757,7709,Latest Look,AXX=98 | C=14 | D=14 | KX=16
ACCENT,99765,7717,Limerick Trick,C=100 | D=25 | KX=16
ACCENT,99773,7725,Luscious Lime,AXX=72 | C=36 | D=18 | KX=14
ACCENT,99781,7733,Chinese Pea Pods,AXX=108 | C=9 | D=9 | KX=18
ACCENT,99789,7741,Sporting Green,AXX=132 | C=4 | D=4 | KX=8
ACCENT,99797,7749,Lime Wedge,AXX=110 | C=5 | D=5 | KX=24
ACCENT,99805,7757,Perennial Pleasure,AXX=108 | C=3 | D=3 | KX=24
ACCENT,99813,7765,Parisian Park,AXX=96 | C=24 | D=8 | KX=20
ACCENT,99821,7773,Sour Lime,AXX=118 | D=1.8 | KX=25
ACCENT,99830,7781,Tuscany Hillside,B=16 | C=96 | D=16 | KX=11
ACCENT,99838,7789,Cedar Edge,B=12 | C=96 | D=12 | KX=14
ACCENT,99846,7797,Basil Pesto,AXX=32 | C=96 | D=16 | KX=16
ACCENT,99849,77A1A,PARIS NIGHTS,B=16 | E=42 | KX=24 | V=44
ACCENT,99850,77A1A SYC,PARIS NIGHTS,B=16 | E=42 | KX=24 | M=73
ACCENT,99870,77C4D SYC,GRAPE,B=17 | E=17 | KX=50 | M=56
ACCENT,99877,7805,Spring Fancy,AXX=26 | C=91 | D=13 | KX=18
ACCENT,99885,7813,Golden Olivette,B=9 | C=108 | D=9 | KX=15
ACCENT,99893,7821,National Forest,AXX=120 | B=5 | KX=14
ACCENT,99901,7829,Miss Marigold,AXX=135 | C=7 | D=1 | KX=1
ACCENT,99909,7837,Ornamental Grass,AXX=96 | KX=18 | L=24
ACCENT,99917,7845,Veradale,AXX=100 | B=10 | I=10 | KX=14
ACCENT,99925,7853,The Open Range,AXX=108 | KX=16 | L=12
ACCENT,99933,7861,Under the Sun,AXX=74 | KX=26 | T=7
ACCENT,99941,7869,Golden Ray,AXX=75 | KX=26 | T=31
ACCENT,99949,7877,Golden Rattan,AXX=60 | C=60 | D=2 | KX=18
ACCENT,99957,7885,Gold Strike,AXX=50 | C=50 | KX=16 | L=25
ACCENT,99965,7893,Devonshire,AXX=74 | C=17 | KX=33 | T=20
ACCENT,99972,78A1A,JET BLACK,B=124 | L=6 | V=3
ACCENT,99973,78A1A SYC,JET BLACK,B=124 | L=6 | M=5
ACCENT,99990,7901,Dried Mustard,AXX=105 | C=21 | KX=14
ACCENT,99998,7909,Inca Gold,AXX=78 | KX=14 | T=52
ACCENT,100006,7917,Golden Autumn,C=20 | KX=14 | T=100
ACCENT,100014,7925,Field Gear,AXX=64 | C=64 | KX=16
ACCENT,100023,7933,Chapultepec,C=132 | KX=12
ACCENT,100031,7941,Bright Lily,T=144
ACCENT,100039,7949,Florida Orange,AXX=104 | SS=4 | T=8
ACCENT,100050,7957,Monarch Wing,KX=18 | SS=7 | T=112
ACCENT,100051,7957 S2000,Monarch Wing,KX=18 | R=3.5 | T=112
ACCENT,100062,7965,Mandarin Grove,C=80 | KX=6 | SS=20 | T=40
ACCENT,100071,7973,Haley s Comet,KX=18 | SS=21 | T=105
ACCENT,100072,7973 S2000,Haley s Comet,KX=19.5 | R=11 | T=114
ACCENT,100085,7981,Bergamot Orange,C=48 | KX=24 | SS=24 | T=48
ACCENT,100097,7989,Bright Bittersweet,C=10 | KX=24 | SS=44 | T=64
ACCENT,100098,7989 S2000,Bright Bittersweet,C=12 | KX=29 | R=26 | T=77
ACCENT,100108,7997,Deep Spice,C=34 | KX=8 | SS=51 | T=51
ACCENT,100109,7997 S2000,Deep Spice,C=41 | KX=9 | R=30 | T=61
ACCENT,100118,8005,Sunbaked Earth,C=68 | F=32 | I=2 | KX=24
ACCENT,100128,8013,Copper Moon,C=112 | F=28 | KX=6
ACCENT,100136,8021,Hot Shot,KX=19 | SS=66 | T=59
ACCENT,100146,8029,Persimmon,F=12 | KX=24 | SS=78 | T=22
ACCENT,100147,8029 S2000,Persimmon,F=17 | KX=33 | R=55 | T=31
ACCENT,100155,8037,Prairie Fire,C=2 | KX=26 | SS=70 | T=32
ACCENT,100166,8045,Campfire Blaze,KX=18 | SS=96 | T=32
ACCENT,100174,8053,Grand Duke,C=26 | KX=14 | SS=104
ACCENT,100175,8053 S2000,Grand Duke,C=39 | KX=21 | R=78
ACCENT,100185,8061,Salsa del Sol,KX=12 | SS=110 | T=22
ACCENT,100186,8061 S2000,Salsa del Sol,KX=19 | R=88 | T=36
ACCENT,100197,8069,Autumn Anthem,F=16 | KX=16 | SS=112
ACCENT,100198,8069 S2000,Autumn Anthem,F=24 | KX=24 | R=84
ACCENT,100208,8077,Scarlet Sumac,F=20 | KX=24 | SS=100
ACCENT,100216,8085,Red Baron,KX=2 | L=1 | M=34 | SS=97
ACCENT,100217,8085 S2000,Red Baron,KX=2 | L=1 | R=49 | V=20.5
ACCENT,100225,8093,Painter s Red,SS=144
ACCENT,100226,8093 S2000,Painter s Red,R=96.5
ACCENT,100234,8101,Prado Red,KX=8 | L=27 | M=13 | SS=96
ACCENT,100251,8117,Jays New Toy,B=1 | KX=2 | M=72 | SS=64
ACCENT,100252,8117 S2000,Jays New Toy,B=2 | KX=3.5 | R=58 | V=78
ACCENT,100260,8125,Francesca,I=2 | KX=2 | M=96 | SS=42
ACCENT,100261,8125 S2000,Francesca,I=3 | KX=3.5 | R=35 | V=101
ACCENT,100271,8133,It s the Berries,B=1 | KX=2 | M=85 | SS=65
ACCENT,100272,8133 S2000,It s the Berries,B=1.5 | KX=3 | R=56.6 | V=86.7
ACCENT,100280,8141,Fire Burgundy,B=4 | KX=15 | M=96 | SS=30
ACCENT,100288,8149,From the Heart,KX=14 | M=120 | SS=10
ACCENT,100289,8149 S2000,From the Heart,KX=21 | R=7.5 | V=108
ACCENT,100300,8157,Tart Heart,KX=10 | L=4 | M=116 | SS=3
ACCENT,100301,8157 S2000,Tart Heart,KX=9 | L=7 | R=2.5 | V=126
ACCENT,100309,8165,Country Cranberry,B=6 | KX=8 | M=120 | SS=16
ACCENT,100317,8173,Berry Bog,E=11 | KX=4 | M=46 | SS=83
ACCENT,100325,8181,Cranberry Bog,B=16 | KX=8 | M=64 | SS=32
ACCENT,100333,8189,Cherry Berry,E=10 | KX=5 | L=42 | M=87
ACCENT,100341,8197,So Merlot,E=8 | KX=4 | L=16 | M=98
ACCENT,100342,8197 S2000,8197 S2000,E=8 | KX=4 | L=16 | V=61
ACCENT,100351,8205,Autumn Plum,B=24 | C=5 | KX=12 | M=96
ACCENT,100359,8213,Dark Berry,B=44 | I=10 | KX=8 | M=85
ACCENT,100368,8221,Top of the Mountain,B=108 | C=18 | F=18 | KX=16
ACCENT,100376,8229,Evening Empress,B=112 | F=14 | KX=18
ACCENT,100384,8237,Indulgent Iris,B=100 | KX=8 | M=40
ACCENT,100392,8245,In the Dark,B=90 | KX=18 | L=18 | M=18
ACCENT,100400,8253,Kitty Kitty,B=144
ACCENT,100416,8269,In the Navy,B=88 | E=44 | KX=24
ACCENT,100424,8277,Around Midnight,B=84 | D=32 | KX=24
ACCENT,100440,8293,Carbon Copy,B=96 | C=24 | I=24
ACCENT,100448,8301,Opening Night,B=88 | C=22 | I=11 | KX=18
ACCENT,100456,8309,Midnight in the Trop,B=96 | C=24 | D=8 | KX=16
ACCENT,100464,8317,Dramatic Black,B=90 | C=27 | D=9 | KX=18
ACCENT,100472,8325,Dark Moon,B=84 | C=42 | KX=18
ACCENT,100481,8333,Moonless Sky,B=50 | D=20 | KX=14 | L=60
ACCENT,100489,8341,Cape Royal,B=40 | C=2 | D=78 | KX=14
ACCENT,100497,8349,Forest Glen,B=48 | C=28 | D=44
ACCENT,100505,8357,Shade of Night,B=42 | C=42 | D=42 | KX=21
ACCENT,100513,8365,Opera Evening,B=63 | C=42 | D=21 | KX=16
ACCENT,100521,8373,Jungle Fever,B=50 | C=50 | D=25 | KX=20
ACCENT,100529,8381,Glade Creek,B=32 | C=64 | D=32 | KX=12
ACCENT,100537,8389,Irish Moss,B=56 | C=56 | D=14 | KX=18
ACCENT,100545,8397,Clearfield,B=50 | C=60 | D=10 | KX=18
ACCENT,100553,8405,Ladies' Night,B=38 | C=76 | D=19 | KX=12
ACCENT,100561,8413,Evergreen Trail,B=25 | C=75 | D=25 | KX=18
ACCENT,100569,8421,Fortune Leaves,B=60 | C=60 | KX=24
ACCENT,100577,8429,Bravo Brown,B=72 | C=54 | I=18
ACCENT,100585,8437,Pilot Rock,B=68 | C=66 | F=10 | KX=20
ACCENT,100593,8445,Birch Island,B=60 | C=60 | F=10 | KX=14
ACCENT,100601,8453,Mocha Mousse,B=50 | C=70 | F=10 | KX=16
ACCENT,100602,8454,Crhome de Caramel,B=34.75 | C=51.75 | F=7.5 | KX=52.15
ACCENT,100610,8461,Stone Wall,B=54 | C=60 | F=6 | KX=24
ACCENT,100618,8469,Norwegian Wood,B=56 | C=56 | SS=28
ACCENT,100627,8477,Woven Willow,B=32 | C=100 | KX=14
